t,Open,High,Low,Close,Volume,VolumeWeighted
2020-12-31 15:05:00,696.38,697.6,696.38,697.23,2117,697.091538
2020-12-31 15:06:00,696.69,697.2,696.13,697.0,2032,696.843448
2020-12-31 15:07:00,697.495,697.5,696.65,696.98,1593,697.174333
2020-12-31 15:08:00,697.59,697.59,696.96,696.96,1295,697.321
2020-12-31 15:09:00,696.79,697.79,696.79,697.535,1627,697.487667
2020-12-31 15:10:00,697.54,698.87,696.97,698.31,1735,698.34125
2020-12-31 15:11:00,698.25,699.01,698.09,698.45,2395,698.655342
2020-12-31 15:12:00,698.51,699.11,698.51,699.11,1022,698.853571
2020-12-31 15:13:00,698.65,698.79,698.1,698.66,2745,698.46575
2020-12-31 15:14:00,698.95,698.95,698.62,698.62,702,698.76
2020-12-31 15:15:00,698.64,699.18,698.32,698.38,3358,698.972661
2020-12-31 15:16:00,698.77,698.77,697.75,697.75,967,698.308333
2020-12-31 15:17:00,697.88,698.29,697.88,697.98,1491,698.121
2020-12-31 15:18:00,698.56,701.01,698.56,701.01,1715,699.451
2020-12-31 15:19:00,701.21,701.535,700.86,700.86,1246,701.294444
2020-12-31 15:20:00,700.17,701.55,700.17,701.55,1003,701.125365
2020-12-31 15:21:00,701.82,701.875,701.29,701.4,2444,701.558099
2020-12-31 15:22:00,701.4,701.4,700.92,701.17,634,701.205
2020-12-31 15:23:00,701.39,702.46,701.39,702.42,1937,702.251574
2020-12-31 15:24:00,702.3,702.325,701.21,701.21,613,702.048443
2020-12-31 15:25:00,701.91,701.91,700.745,700.79,1618,701.451713
2020-12-31 15:26:00,701.405,701.405,701.405,701.405,233,701.405
2020-12-31 15:27:00,699.63,700.6,699.15,700.6,1823,699.951538
2020-12-31 15:28:00,700.41,700.76,700.41,700.7,1898,700.585
2020-12-31 15:29:00,700.895,701.27,700.87,701.26,886,701.07375
2020-12-31 15:30:00,701.73,702.01,701.73,701.805,1712,701.867071
2020-12-31 15:31:00,701.73,701.79,701.64,701.64,790,701.7225
2020-12-31 15:32:00,701.81,701.81,701.1,701.1,298,701.455
2020-12-31 15:35:00,701.41,701.43,700.77,700.77,651,701.07
2020-12-31 15:37:00,700.83,700.87,700.42,700.87,638,700.603333
2020-12-31 15:38:00,701.47,702.04,700.935,700.935,2296,701.852368
2020-12-31 15:39:00,701.3,702.0,701.3,702.0,2881,701.686429
2020-12-31 15:40:00,702.0,703.4,701.85,703.31,3248,702.688846
2020-12-31 15:41:00,703.04,703.42,703.04,703.42,390,703.23
2020-12-31 15:42:00,704.4,704.45,703.82,703.82,1853,704.267089
2020-12-31 15:43:00,704.43,704.485,704.21,704.225,1331,704.3725
2020-12-31 15:44:00,704.25,704.945,704.03,704.715,1160,704.575714
2020-12-31 15:45:00,704.8,705.97,704.8,705.85,3095,705.452213
2020-12-31 15:46:00,706.18,707.35,706.18,707.35,485,706.856667
2020-12-31 15:47:00,707.0,707.34,706.52,706.7,1641,706.909615
2020-12-31 15:48:00,707.02,707.78,707.02,707.39,762,707.502
2020-12-31 15:49:00,707.84,708.59,707.84,708.47,1415,708.39
2020-12-31 15:50:00,708.78,708.78,707.56,707.81,2834,708.245503
2020-12-31 15:51:00,707.88,708.85,707.88,708.2,2238,708.407
2020-12-31 15:52:00,708.69,709.16,708.58,708.92,1792,708.900417
2020-12-31 15:53:00,708.83,709.51,708.8,709.39,1715,709.034231
2020-12-31 15:54:00,709.41,709.77,709.35,709.77,835,709.535
2020-12-31 15:55:00,709.92,711.0,709.905,711.0,3961,710.168158
2020-12-31 15:56:00,711.49,711.9,711.3,711.59,1397,711.593636
2020-12-31 15:57:00,711.21,711.21,709.14,710.06,1840,710.046154
2020-12-31 15:58:00,709.4,709.4,708.215,708.38,2193,708.930772
2020-12-31 15:59:00,709.25,709.25,707.55,707.89,1674,708.631615
2020-12-31 16:00:00,708.21,709.13,708.21,709.0,1351,708.883333
2020-12-31 16:01:00,708.695,709.55,708.51,708.67,1406,709.061429
2020-12-31 16:02:00,709.12,709.12,709.01,709.08,1170,709.057857
2020-12-31 16:03:00,708.89,708.89,708.66,708.66,295,708.775
2020-12-31 16:04:00,708.95,708.96,708.95,708.96,409,708.956667
2020-12-31 16:05:00,708.61,708.61,708.21,708.21,744,708.326
2020-12-31 16:06:00,707.85,708.75,707.75,708.75,1145,708.056667
2020-12-31 16:07:00,709.33,710.175,709.33,709.7,1870,709.756333
2020-12-31 16:08:00,709.89,710.27,709.79,710.16,900,710.062222
2020-12-31 16:09:00,710.205,710.27,709.95,710.135,1011,710.15
2020-12-31 16:10:00,710.17,710.53,710.17,710.53,848,710.3
2020-12-31 16:11:00,710.72,710.92,710.28,710.51,923,710.592143
2020-12-31 16:12:00,711.14,711.67,711.14,711.67,713,711.437131
2020-12-31 16:13:00,711.98,713.63,711.98,713.1,1797,713.077857
2020-12-31 16:14:00,713.31,713.31,712.85,712.89,1691,712.990974
2020-12-31 16:15:00,713.4,713.4,713.4,713.4,223,713.4
2020-12-31 16:16:00,714.09,714.79,714.09,714.75,1343,714.539091
2020-12-31 16:17:00,715.07,715.31,714.77,715.31,1430,714.9975
2020-12-31 16:18:00,715.47,716.67,715.25,716.44,2349,715.92058
2020-12-31 16:19:00,716.78,717.0,715.25,715.25,1239,716.36875
2020-12-31 16:20:00,714.24,714.405,713.8,713.8,1378,714.199444
2020-12-31 16:21:00,714.19,715.84,714.19,715.14,9160,715.618336
2020-12-31 16:22:00,715.21,716.32,715.21,716.14,1083,715.84625
2020-12-31 16:23:00,716.0,716.71,716.0,716.64,1375,716.489286
2020-12-31 16:24:00,716.78,717.98,716.76,717.05,2356,717.390347
2020-12-31 16:25:00,716.27,718.01,715.78,717.66,1813,717.021
2020-12-31 16:26:00,717.385,717.47,716.95,717.15,1627,717.189091
2020-12-31 16:27:00,717.415,717.45,717.14,717.45,1100,717.359
2020-12-31 16:28:00,717.145,717.145,715.77,715.77,1484,716.393077
2020-12-31 16:29:00,715.02,715.72,714.68,715.37,1840,715.27875
2020-12-31 16:30:00,716.8,716.99,715.71,715.94,1625,716.462333
2020-12-31 16:31:00,716.19,716.19,716.19,716.19,140,716.19
2020-12-31 16:32:00,714.77,715.52,714.76,715.01,1599,715.039231
2020-12-31 16:33:00,715.23,715.5,714.61,714.79,1481,715.12
2020-12-31 16:34:00,714.57,716.3,714.56,716.28,3721,715.486774
2020-12-31 16:35:00,716.23,717.2,716.2,716.6,2075,716.727632
2020-12-31 16:36:00,716.645,717.53,716.645,717.53,851,717.213
2020-12-31 16:37:00,717.6,718.71,717.6,718.71,4541,718.014812
2020-12-31 16:38:00,718.39,718.39,717.83,718.36,1330,718.202857
2020-12-31 16:39:00,716.66,717.56,716.66,717.56,1681,717.080909
2020-12-31 16:40:00,718.14,718.44,717.3,717.3,1519,718.004545
2020-12-31 16:41:00,717.63,717.63,716.84,716.84,1094,717.210625
2020-12-31 16:42:00,716.74,716.79,716.01,716.35,1763,716.3425
2020-12-31 16:43:00,715.54,716.125,715.54,716.125,799,715.91375
2020-12-31 16:44:00,716.09,716.95,716.09,716.95,805,716.537143
2020-12-31 16:45:00,716.9,717.245,716.75,717.23,1434,717.072857
2020-12-31 16:46:00,716.85,717.25,716.61,716.88,2071,717.084838
2020-12-31 16:47:00,716.33,716.65,716.33,716.65,556,716.4175
2020-12-31 16:48:00,716.2,716.3,716.2,716.3,491,716.233333
2020-12-31 16:49:00,716.66,717.365,716.66,716.91,1680,717.040909
2020-12-31 16:50:00,717.2,717.2,716.21,716.61,1247,716.584286
2020-12-31 16:51:00,716.28,716.74,716.12,716.62,1299,716.416667
2020-12-31 16:52:00,716.71,716.87,715.9,715.91,1853,716.289473
2020-12-31 16:53:00,715.75,715.9,714.6,714.81,3013,715.091429
2020-12-31 16:54:00,714.58,714.99,712.63,712.75,5326,713.90082
2020-12-31 16:55:00,713.0,713.15,711.87,712.14,3344,712.525401
2020-12-31 16:56:00,712.33,713.51,712.2,713.405,4695,712.820135
2020-12-31 16:57:00,713.87,714.01,713.315,714.01,1414,713.805
2020-12-31 16:58:00,714.06,714.595,714.06,714.54,2794,714.342642
2020-12-31 16:59:00,714.55,714.7,714.27,714.27,2880,714.575486
2020-12-31 17:00:00,714.65,714.815,713.89,713.89,2478,714.3815
2020-12-31 17:01:00,713.705,713.705,712.01,712.69,2302,712.531944
2020-12-31 17:02:00,712.81,712.99,712.02,712.02,2004,712.693667
2020-12-31 17:03:00,712.04,712.85,712.02,712.85,1238,712.233889
2020-12-31 17:04:00,713.59,714.0,713.57,713.57,1052,713.8
2020-12-31 17:05:00,713.12,713.945,713.12,713.83,702,713.471
2020-12-31 17:06:00,714.05,714.05,713.43,713.43,728,713.8275
2020-12-31 17:07:00,714.175,714.94,714.175,714.74,1155,714.557
2020-12-31 17:08:00,714.63,714.79,713.96,714.09,1467,714.456334
2020-12-31 17:09:00,714.29,714.51,714.17,714.43,711,714.372
2020-12-31 17:10:00,714.47,715.96,714.47,715.96,768,715.035
2020-12-31 17:11:00,715.9,716.725,715.9,716.725,1143,716.270556
2020-12-31 17:12:00,716.34,716.49,715.73,715.73,1323,716.196364
2020-12-31 17:13:00,715.93,715.93,715.68,715.715,1000,715.826667
2020-12-31 17:14:00,715.985,715.985,715.985,715.985,111,715.985
2020-12-31 17:15:00,716.36,716.36,715.88,715.88,210,716.12
2020-12-31 17:16:00,715.755,715.755,715.755,715.755,118,715.755
2020-12-31 17:17:00,716.19,716.27,716.0,716.245,606,716.193
2020-12-31 17:18:00,716.165,716.165,715.39,715.39,451,715.7475
2020-12-31 17:19:00,714.55,714.58,714.48,714.48,746,714.551667
2020-12-31 17:20:00,715.06,715.25,715.06,715.25,331,715.155
2020-12-31 17:21:00,714.91,715.025,713.82,714.16,1637,714.475667
2020-12-31 17:22:00,714.0,714.0,713.38,713.595,4897,713.469795
2020-12-31 17:23:00,713.74,714.41,713.39,714.24,994,713.930714
2020-12-31 17:24:00,714.35,714.99,714.23,714.65,1277,714.564583
2020-12-31 17:25:00,715.28,715.7,715.19,715.52,1205,715.485
2020-12-31 17:26:00,715.42,715.42,715.14,715.185,979,715.256667
2020-12-31 17:27:00,715.02,715.02,714.275,714.34,1451,714.666614
2020-12-31 17:28:00,714.42,715.02,714.42,714.78,1076,714.84625
2020-12-31 17:29:00,714.79,715.24,714.62,715.24,989,714.878333
2020-12-31 17:30:00,714.18,714.37,714.18,714.37,298,714.275
2020-12-31 17:31:00,714.63,715.26,714.63,715.21,661,715.040833
2020-12-31 17:32:00,715.32,715.91,715.32,715.91,830,715.518571
2020-12-31 17:33:00,715.785,715.785,715.48,715.48,472,715.68375
2020-12-31 17:34:00,714.98,714.98,714.98,714.98,111,714.98
2020-12-31 17:35:00,714.72,714.72,714.25,714.25,501,714.4075
2020-12-31 17:36:00,714.19,714.19,712.93,712.99,1138,713.3075
2020-12-31 17:37:00,713.54,713.54,713.12,713.37,887,713.3875
2020-12-31 17:38:00,713.465,713.9,713.465,713.89,910,713.778333
2020-12-31 17:39:00,713.855,714.63,713.56,714.51,1418,714.154091
2020-12-31 17:40:00,714.32,714.32,713.22,713.22,1362,713.513151
2020-12-31 17:41:00,714.15,714.17,713.71,713.71,1062,713.868889
2020-12-31 17:42:00,713.99,715.09,713.85,714.38,1134,714.4995
2020-12-31 17:43:00,714.995,715.4,714.995,715.4,419,715.258333
2020-12-31 17:44:00,715.53,715.62,715.53,715.62,311,715.581667
2020-12-31 17:45:00,716.89,716.89,716.5,716.5,615,716.64375
2020-12-31 17:46:00,716.79,717.01,716.72,716.72,687,716.876
2020-12-31 17:47:00,716.68,716.68,716.47,716.47,274,716.575
2020-12-31 17:48:00,716.51,717.11,716.51,717.11,701,716.735
2020-12-31 17:49:00,717.165,717.24,716.67,716.67,3200,717.195313
2020-12-31 17:50:00,715.86,716.01,715.56,716.01,992,715.76875
2020-12-31 17:51:00,715.76,716.385,715.76,716.385,367,716.176667
2020-12-31 17:52:00,715.93,715.93,715.69,715.69,473,715.796667
2020-12-31 17:53:00,715.73,715.73,715.37,715.37,318,715.56
2020-12-31 17:54:00,715.67,715.695,715.3,715.455,1083,715.463889
2020-12-31 17:55:00,715.28,715.31,715.16,715.185,1023,715.205714
2020-12-31 17:56:00,715.05,715.125,714.15,714.15,4515,714.856175
2020-12-31 17:57:00,714.31,714.575,714.31,714.52,564,714.455
2020-12-31 17:58:00,714.97,715.02,714.55,715.0,643,714.902
2020-12-31 17:59:00,715.035,715.035,714.62,714.62,832,714.8725
2020-12-31 18:00:00,714.955,715.03,714.22,714.22,789,714.82106
2020-12-31 18:01:00,714.33,714.33,713.87,714.08,1113,714.018889
2020-12-31 18:02:00,714.69,714.69,714.69,714.69,125,714.69
2020-12-31 18:03:00,714.65,714.755,714.55,714.755,516,714.655
2020-12-31 18:04:00,714.55,714.64,714.46,714.64,380,714.55
2020-12-31 18:05:00,714.91,715.045,714.65,714.65,1475,714.950266
2020-12-31 18:06:00,715.0,715.0,714.245,714.245,565,714.663
2020-12-31 18:07:00,714.28,714.86,714.28,714.86,800,714.618
2020-12-31 18:08:00,714.69,714.69,714.69,714.69,101,714.69
2020-12-31 18:09:00,714.735,714.735,714.42,714.42,325,714.608333
2020-12-31 18:10:00,714.46,714.93,714.46,714.93,701,714.681
2020-12-31 18:11:00,714.91,715.005,714.42,714.72,4296,714.964878
2020-12-31 18:12:00,715.0,715.24,715.0,715.0,2344,715.16447
2020-12-31 18:13:00,715.9,715.98,715.83,715.98,1230,715.923
2020-12-31 18:14:00,716.17,716.81,716.17,716.67,944,716.626667
2020-12-31 18:15:00,716.65,716.65,716.22,716.34,926,716.545951
2020-12-31 18:16:00,716.31,716.31,716.005,716.005,646,716.10995
2020-12-31 18:17:00,715.88,716.22,715.88,716.02,1004,716.0845
2020-12-31 18:18:00,716.01,716.31,715.8,716.31,1265,716.044545
2020-12-31 18:19:00,715.9,716.07,715.9,716.07,352,715.996667
2020-12-31 18:20:00,715.9,715.9,715.62,715.73,872,715.770714
2020-12-31 18:21:00,715.65,715.86,714.96,714.96,869,715.5775
2020-12-31 18:22:00,715.02,715.02,714.5,715.0,721,714.798333
2020-12-31 18:23:00,714.89,714.89,714.82,714.82,600,714.856
2020-12-31 18:24:00,714.905,715.04,714.905,715.0,571,714.98625
2020-12-31 18:25:00,714.91,715.43,714.91,715.43,900,715.162778
2020-12-31 18:26:00,715.57,716.45,715.57,716.45,1311,716.03
2020-12-31 18:27:00,716.22,716.22,716.1,716.1,272,716.16
2020-12-31 18:28:00,715.95,715.95,714.7,715.12,1352,715.293846
2020-12-31 18:29:00,715.15,715.4,714.9,715.37,1319,715.285909
2020-12-31 18:30:00,715.3,715.3,715.08,715.18,632,715.191667
2020-12-31 18:31:00,715.38,715.59,714.88,714.88,2796,715.376481
2020-12-31 18:32:00,714.88,715.14,714.62,714.91,1760,714.901875
2020-12-31 18:33:00,714.895,715.2,714.75,715.2,1889,714.985938
2020-12-31 18:34:00,715.245,715.79,715.05,715.79,1225,715.41
2020-12-31 18:35:00,715.73,715.94,715.73,715.85,313,715.84
2020-12-31 18:36:00,716.58,716.69,716.245,716.245,1304,716.505
2020-12-31 18:37:00,716.13,716.13,716.0,716.0,632,716.056364
